Company ,Salesperson ,Total Sales ,Total Lbs ,Sales Mar 2020,Sales Apr 2020,Sales May 2020,Sales Jun 2020,Sales Jul 2020,Sales Aug 2020,Pounds Shipped Mar 2020,Pounds Shipped Apr 2020,Pounds Shipped May 2020,Pounds Shipped Jun 2020,Pounds Shipped Jul 2020,Pounds Shipped Aug 2020
Company-1011,Salesperson6,21665.0,23068.0,5726.0,7361.0,3600.0,323.0,4261.0,394.0,10088.0,4809.0,3247.0,150.0,4692.0,82.0
Company-1012,Salesperson6,8711.0,8315.0,332.0,154.0,1244.0,1071.0,5910.0,,176.0,396.0,1151.0,714.0,5878.0,
Company-1013,Salesperson6,1456.0,261.0,1146.0,,,310.0,,,208.0,,,53.0,,
Company-1014,Salesperson6,1761.0,290.0,,,88.0,,1585.0,88.0,,,47.0,,232.0,11.0
Company-1015,Salesperson7,17342.0,27238.0,726.0,9962.0,,,,6654.0,1078.0,15518.0,,,,10642.0
Company-1016,Salesperson17,2100.0,289.0,,,,2100.0,,,,,,289.0,,
Company-1016,Salesperson8,24680.0,2260.0,22786.0,1764.0,,,,130.0,1937.0,311.0,,,,12.0
Company-1017,Salesperson5,1343.0,191.0,,914.0,,,429.0,,,129.0,,,62.0,
Company-1018,Salesperson9,684.0,166.0,684.0,,,,,,166.0,,,,,
Company-1019,Salesperson13,420.0,87.0,,,,420.0,,,,,,87.0,,
Company-102,Salesperson13,2828.0,3279.0,2828.0,,,,,,3279.0,,,,,
Company-1020,Salesperson6,3291.0,4388.0,201.0,266.0,,686.0,2138.0,,256.0,382.0,,600.0,3150.0,
Company-1021,Salesperson7,162.0,18.0,,162.0,,,,,,18.0,,,,
Company-1022,Salesperson8,15799.0,17714.0,2393.0,2619.0,5012.0,5775.0,,,2831.0,3122.0,5813.0,5948.0,,
Company-1023,Salesperson6,1105.0,894.0,439.0,526.0,140.0,,,,414.0,394.0,86.0,,,
Company-1024,Salesperson8,731.0,110.0,,238.0,493.0,,,,,39.0,71.0,,,
Company-1025,Salesperson13,274.0,76.0,274.0,,,,,,76.0,,,,,
Company-1026,Salesperson8,424.0,39.0,,,,,424.0,,,,,,39.0,
Company-1027,Salesperson8,114.0,71.0,,114.0,,,,,,71.0,,,,
Company-1028,Salesperson13,1377.0,286.0,816.0,,,,561.0,,168.0,,,,118.0,
Company-1029,Salesperson5,1187.0,396.0,972.0,,215.0,,,,157.0,,239.0,,,
Company-103,Salesperson6,503.0,592.0,,503.0,,,,,,592.0,,,,
Company-1030,Salesperson7,3627.0,732.0,,267.0,1366.0,1994.0,,,,58.0,280.0,394.0,,
Company-1031,Salesperson6,22612.0,14772.0,15496.0,1733.0,1200.0,4183.0,,,9316.0,1690.0,672.0,3094.0,,
Company-1032,Salesperson7,152.0,216.0,,152.0,,,,,,216.0,,,,
Company-1033,Salesperson13,788.0,420.0,788.0,,,,,,420.0,,,,,
Company-1034,Salesperson6,664.0,872.0,391.0,273.0,,,,,528.0,344.0,,,,
Company-1035,Salesperson13,491.0,654.0,,,,,,491.0,,,,,,654.0
Company-1036,Salesperson7,589.0,762.0,589.0,,,,,,762.0,,,,,
Company-1037,Salesperson8,680.0,374.0,,,,680.0,,,,,,374.0,,
Company-1038,Salesperson5,1460.0,1112.0,,,,1460.0,,,,,,1112.0,,
Company-1039,Salesperson5,1518.0,436.0,,1518.0,,,,,,436.0,,,,
Company-104,Salesperson13,1711.0,1623.0,585.0,,91.0,,,1035.0,289.0,,12.0,,,1322.0
Company-1040,Salesperson13,6672.0,2220.0,2704.0,115.0,1136.0,1040.0,1677.0,,748.0,132.0,506.0,476.0,358.0,
Company-1041,Salesperson13,283.0,51.0,,,,283.0,,,,,,51.0,,
Company-1042,Salesperson9,534.0,66.0,534.0,,,,,,66.0,,,,,
Company-1043,Salesperson8,402.0,96.0,402.0,,,,,,96.0,,,,,
Company-1044,Salesperson4,336.0,162.0,,,,336.0,,,,,,162.0,,
Company-1045,Salesperson13,1874.0,1761.0,852.0,,773.0,,249.0,,797.0,,930.0,,34.0,
Company-1046,Salesperson8,5432.0,4742.0,,426.0,,,5006.0,,,330.0,,,4412.0,
Company-1047,Salesperson6,293.0,57.0,,,,293.0,,,,,,57.0,,
Company-1048,Salesperson7,670.0,462.0,,,555.0,115.0,,,,,420.0,42.0,,
Company-1049,Salesperson6,650.0,982.0,173.0,,,477.0,,,186.0,,,796.0,,
Company-105,Salesperson7,476.0,568.0,,,,,476.0,,,,,,568.0,
Company-1050,Salesperson13,2296.0,1907.0,574.0,190.0,,812.0,720.0,,361.0,108.0,,634.0,804.0,
Company-1051,Salesperson7,3018.0,2156.0,3018.0,,,,,,2156.0,,,,,
Company-1052,Salesperson7,877.0,430.0,,,877.0,,,,,,430.0,,,
Company-1053,Salesperson8,4467.0,731.0,1235.0,,1941.0,1291.0,,,234.0,,281.0,216.0,,
Company-1054,Salesperson8,390.0,77.0,,,,,390.0,,,,,,77.0,
Company-1055,Salesperson13,602.0,74.0,,298.0,,,304.0,,,33.0,,,41.0,
Company-1056,Salesperson6,4276.0,3833.0,2435.0,,243.0,323.0,1275.0,,3079.0,,140.0,30.0,584.0,
Company-1057,Salesperson8,960.0,511.0,,420.0,38.0,502.0,,,,216.0,33.0,262.0,,
Company-1058,Salesperson13,5736.0,1140.0,4988.0,748.0,,,,,990.0,150.0,,,,
Company-1059,Salesperson6,1089.0,722.0,1089.0,,,,,,722.0,,,,,
Company-106,Salesperson7,1238.0,1560.0,,1238.0,,,,,,1560.0,,,,
Company-1060,Salesperson13,1172.0,1031.0,457.0,,,339.0,376.0,,303.0,,,422.0,306.0,
Company-1061,Salesperson13,501.0,42.0,,,,,501.0,,,,,,42.0,
Company-1062,Salesperson6,3962.0,676.0,1981.0,,1981.0,,,,338.0,,338.0,,,
Company-1063,Salesperson8,628.0,428.0,,628.0,,,,,,428.0,,,,
Company-1064,Salesperson5,1806.0,634.0,,,,1595.0,211.0,,,,,516.0,118.0,
Company-1065,Salesperson9,1173.0,960.0,,828.0,173.0,172.0,,,,884.0,38.0,38.0,,
Company-1066,Salesperson14,2136.0,1224.0,471.0,566.0,,373.0,726.0,,286.0,340.0,,198.0,400.0,
Company-1067,Salesperson8,443.0,540.0,,,,443.0,,,,,,540.0,,
Company-1068,Salesperson13,331.0,214.0,,331.0,,,,,,214.0,,,,
Company-1069,Salesperson6,962.0,1290.0,,422.0,310.0,,,230.0,,564.0,422.0,,,304.0
Company-107,Salesperson7,2832.0,1932.0,2426.0,102.0,,101.0,203.0,,1632.0,51.0,,65.0,184.0,
Company-1070,Salesperson9,1201.0,505.0,655.0,,265.0,,281.0,,152.0,,125.0,,228.0,
Company-1071,Salesperson9,33976.0,45103.0,5171.0,11983.0,4601.0,3497.0,8724.0,,7465.0,12120.0,6662.0,6428.0,12428.0,
Company-1072,Salesperson9,7176.0,7009.0,,,5607.0,1569.0,,,,,5287.0,1722.0,,
Company-1073,Salesperson9,122.0,16.0,,,,,122.0,,,,,,16.0,
Company-1074,Salesperson6,167.0,100.0,167.0,,,,,,100.0,,,,,
Company-1075,Salesperson8,348.0,175.0,348.0,,,,,,175.0,,,,,
Company-1076,Salesperson9,4873.0,2890.0,3728.0,1145.0,,,,,1742.0,1148.0,,,,
Company-1077,Salesperson6,2300.0,314.0,,1084.0,,1216.0,,,,180.0,,134.0,,
Company-1078,Salesperson13,1551.0,777.0,509.0,,,,852.0,190.0,77.0,,,,672.0,28.0
Company-1079,Salesperson7,40975.0,38487.0,9970.0,9138.0,,11433.0,2657.0,7777.0,10217.0,11488.0,,8224.0,2174.0,6384.0
Company-108,Salesperson6,144.0,24.0,,144.0,,,,,,24.0,,,,
Company-108,Salesperson8,439.0,96.0,439.0,,,,,,96.0,,,,,
Company-1080,Salesperson6,396.0,476.0,,396.0,,,,,,476.0,,,,
Company-1081,Salesperson13,273.0,358.0,,,273.0,,,,,,358.0,,,
Company-1082,Salesperson6,518.0,748.0,,,518.0,,,,,,748.0,,,
Company-1083,Salesperson8,1377.0,187.0,,,,229.0,,1148.0,,,,19.0,,168.0
Company-1084,Salesperson5,7638.0,1362.0,2954.0,4684.0,,,,,527.0,835.0,,,,
Company-1085,Salesperson13,2522.0,412.0,,,,2522.0,,,,,,412.0,,
Company-1086,Salesperson9,14930.0,20572.0,,,,,,14930.0,,,,,,20572.0
Company-1087,Salesperson7,492.0,174.0,,200.0,292.0,,,,,118.0,56.0,,,
Company-1088,Salesperson7,12823.0,9848.0,,7297.0,3550.0,,1976.0,,,5392.0,2842.0,,1614.0,
Company-1089,Salesperson13,181.0,132.0,,,,,181.0,,,,,,132.0,
Company-109,Salesperson13,347.0,47.0,,,,347.0,,,,,,47.0,,
Company-1090,Salesperson7,431.0,288.0,,431.0,,,,,,288.0,,,,
Company-1091,Salesperson6,514.0,88.0,,,,,,514.0,,,,,,88.0
Company-1092,Salesperson5,429.0,217.0,,429.0,,,,,,217.0,,,,
Company-1093,Salesperson8,3994.0,1767.0,,,,3092.0,,902.0,,,,1569.0,,198.0
Company-1094,Salesperson8,2472.0,713.0,1227.0,227.0,1018.0,,,,367.0,50.0,296.0,,,
Company-1095,Salesperson6,91.0,50.0,,,91.0,,,,,,50.0,,,
Company-1096,Salesperson9,912.0,1407.0,,,912.0,,,,,,1407.0,,,
Company-1097,Salesperson8,2699.0,2415.0,,1245.0,,857.0,597.0,,,1123.0,,832.0,460.0,
Company-1098,Salesperson9,526.0,455.0,,149.0,,377.0,,,,62.0,,393.0,,
Company-1099,Salesperson5,3312.0,2822.0,1481.0,,234.0,561.0,703.0,333.0,1389.0,,131.0,594.0,346.0,362.0
Company-11,Salesperson17,18039.0,41880.0,,6432.0,11607.0,,,,,16238.0,25642.0,,,
Company-11,Salesperson7,18715.0,38134.0,,,,14851.0,3864.0,,,,,30800.0,7334.0,
Company-110,Salesperson5,1703.0,2133.0,992.0,,275.0,436.0,,,1359.0,,266.0,508.0,,
Company-1100,Salesperson10,3269.0,1286.0,,,,,3269.0,,,,,,1286.0,
Company-1101,Salesperson5,1538.0,297.0,,,,820.0,718.0,,,,,148.0,149.0,
Company-1102,Salesperson6,3932.0,1071.0,1812.0,,538.0,323.0,1259.0,,266.0,,98.0,286.0,421.0,
Company-1103,Salesperson8,2255.0,1862.0,,,,,824.0,1431.0,,,,,394.0,1468.0
Company-1104,Salesperson13,95.0,94.0,,,,,95.0,,,,,,94.0,
Company-1105,Salesperson7,87.0,116.0,,87.0,,,,,,116.0,,,,
Company-1106,Salesperson7,868.0,680.0,,,,,868.0,,,,,,680.0,
Company-1107,Salesperson7,641.0,754.0,,,,641.0,,,,,,754.0,,
Company-1108,Salesperson7,6632.0,1360.0,3248.0,2262.0,,,1122.0,,746.0,336.0,,,278.0,
Company-1109,Salesperson8,2235.0,862.0,1301.0,934.0,,,,,505.0,357.0,,,,
Company-111,Salesperson9,814.0,615.0,,,,,814.0,,,,,,615.0,
Company-1110,Salesperson8,1099.0,832.0,,,,1099.0,,,,,,832.0,,
Company-1111,Salesperson7,31030.0,45754.0,10448.0,6938.0,5614.0,3254.0,4776.0,,14608.0,11140.0,7944.0,4650.0,7412.0,
Company-1112,Salesperson6,3529.0,574.0,540.0,225.0,613.0,1270.0,881.0,,90.0,40.0,102.0,204.0,138.0,
Company-1113,Salesperson6,16900.0,23799.0,5258.0,8316.0,767.0,240.0,2319.0,,7564.0,12794.0,720.0,365.0,2356.0,
Company-1114,Salesperson13,130.0,14.0,,130.0,,,,,,14.0,,,,
Company-1115,Salesperson7,543.0,788.0,209.0,,,,,334.0,300.0,,,,,488.0
Company-1116,Salesperson7,234.0,198.0,234.0,,,,,,198.0,,,,,
Company-1117,Salesperson13,5481.0,6267.0,942.0,399.0,1586.0,1557.0,578.0,419.0,1101.0,664.0,1229.0,2312.0,505.0,456.0
Company-1118,Salesperson8,110.0,17.0,,,,110.0,,,,,,17.0,,
Company-1119,Salesperson4,673.0,1032.0,,,,0.0,456.0,217.0,,,,50.0,696.0,286.0
Company-112,Salesperson6,1900.0,1358.0,,352.0,1125.0,,,423.0,,46.0,1224.0,,,88.0
Company-1120,Salesperson9,466.0,60.0,466.0,,,,,,60.0,,,,,
Company-1121,Salesperson6,536.0,124.0,,,,536.0,,,,,,124.0,,
Company-1122,Salesperson13,1917.0,2077.0,,,,,504.0,1413.0,,,,,547.0,1530.0
Company-1123,Salesperson5,89411.0,99091.0,12844.0,21495.0,11782.0,7936.0,26659.0,8695.0,14364.0,23273.0,12594.0,8745.0,28907.0,11208.0
Company-1124,Salesperson7,1129.0,1434.0,,1129.0,,,,,,1434.0,,,,
Company-1125,Salesperson8,196.0,41.0,,,,196.0,,,,,,41.0,,
Company-1126,Salesperson7,8912.0,2285.0,2733.0,759.0,3435.0,,1327.0,658.0,462.0,394.0,1125.0,,200.0,104.0
Company-1127,Salesperson8,7547.0,2164.0,4791.0,290.0,683.0,1610.0,,173.0,902.0,48.0,69.0,1119.0,,26.0
Company-1128,Salesperson13,1469.0,199.0,,,,1469.0,,,,,,199.0,,
Company-1129,Salesperson6,3618.0,580.0,104.0,1959.0,1555.0,,,,19.0,317.0,244.0,,,
Company-113,Salesperson9,4743.0,5165.0,506.0,1546.0,598.0,2093.0,,,616.0,1642.0,501.0,2406.0,,
Company-1130,Salesperson8,630.0,71.0,91.0,,294.0,245.0,,,10.0,,41.0,20.0,,
Company-1131,Salesperson6,2270.0,796.0,,,,,2270.0,,,,,,796.0,
Company-1132,Salesperson13,747.0,131.0,618.0,,129.0,,,,101.0,,30.0,,,
Company-1133,Salesperson6,284.0,46.0,284.0,,,,,,46.0,,,,,
Company-1134,Salesperson13,3789.0,645.0,,133.0,3545.0,111.0,,,,5.0,625.0,15.0,,
Company-1135,Salesperson7,239.0,109.0,,239.0,,,,,,109.0,,,,
Company-1136,Salesperson4,6064.0,5604.0,,2793.0,1253.0,,1146.0,872.0,,2564.0,978.0,,1132.0,930.0
Company-1137,Salesperson8,4281.0,5334.0,2206.0,,1661.0,,414.0,,2742.0,,2058.0,,534.0,
Company-1138,Salesperson13,98.0,12.0,,98.0,,,,,,12.0,,,,
Company-1139,Salesperson6,369.0,270.0,,369.0,,,,,,270.0,,,,
Company-114,Salesperson5,2861.0,1000.0,319.0,,918.0,1624.0,,,38.0,,358.0,604.0,,
Company-1140,Salesperson13,1427.0,245.0,,348.0,203.0,876.0,,,,38.0,41.0,166.0,,
Company-1141,Salesperson13,100.0,18.0,100.0,,,,,,18.0,,,,,
Company-1142,Salesperson13,2514.0,3568.0,,2514.0,,,,,,3568.0,,,,
Company-1143,Salesperson9,6631.0,617.0,6631.0,,,,,,617.0,,,,,
Company-1144,Salesperson6,1063.0,230.0,,,,,1063.0,,,,,,230.0,
Company-1145,Salesperson7,2046.0,1099.0,,,,1772.0,274.0,,,,,939.0,160.0,
Company-1146,Salesperson6,88487.0,68511.0,18158.0,10916.0,12576.0,24574.0,19037.0,3226.0,12260.0,8309.0,11575.0,18284.0,15703.0,2380.0
Company-1147,Salesperson6,15847.0,11567.0,2306.0,801.0,2935.0,5459.0,3370.0,976.0,1829.0,424.0,2335.0,3665.0,2332.0,982.0
Company-1148,Salesperson6,14725.0,12760.0,3919.0,1593.0,1144.0,4383.0,2477.0,1209.0,3151.0,1356.0,1494.0,2605.0,2035.0,2119.0
Company-1149,Salesperson7,39263.0,11953.0,23459.0,6058.0,1427.0,,8319.0,,6627.0,1888.0,1158.0,,2280.0,
Company-115,Salesperson8,200.0,192.0,200.0,,,,,,192.0,,,,,
Company-1150,Salesperson6,2581.0,3326.0,,,2581.0,,,,,,3326.0,,,
Company-1151,Salesperson9,212.0,102.0,,,,,,212.0,,,,,,102.0
Company-1152,Salesperson13,6047.0,977.0,3587.0,94.0,1639.0,727.0,,,543.0,31.0,265.0,138.0,,
Company-1153,Salesperson6,3260.0,1964.0,415.0,,656.0,,,2189.0,344.0,,280.0,,,1340.0
Company-1154,Salesperson6,1271.0,968.0,,,,1271.0,,,,,,968.0,,
Company-1155,Salesperson13,763.0,142.0,88.0,,,,675.0,,11.0,,,,131.0,
Company-1156,Salesperson6,2366.0,1028.0,,,1180.0,,1186.0,,,,518.0,,510.0,
Company-1157,Salesperson7,1295.0,1336.0,496.0,456.0,,,146.0,197.0,124.0,686.0,,,236.0,290.0
Company-1158,Salesperson13,371.0,390.0,,,,100.0,271.0,,,,,96.0,294.0,
Company-1159,Salesperson8,276.0,42.0,276.0,,,,,,42.0,,,,,
Company-116,Salesperson4,88548.0,105597.0,18205.0,18541.0,15179.0,11118.0,18175.0,7330.0,16620.0,12804.0,13455.0,15102.0,23588.0,24028.0
Company-1160,Salesperson8,628.0,108.0,628.0,,,,,,108.0,,,,,
Company-1161,Salesperson9,763.0,339.0,,763.0,,,,,,339.0,,,,
Company-1162,Salesperson8,1590.0,299.0,301.0,,,572.0,717.0,,50.0,,,79.0,170.0,
Company-1163,Salesperson7,16526.0,13778.0,,,,,16526.0,,,,,,13778.0,
Company-1164,Salesperson10,467.0,784.0,,,,,467.0,,,,,,784.0,
Company-1165,Salesperson13,1221.0,1296.0,100.0,306.0,109.0,524.0,91.0,91.0,54.0,392.0,116.0,566.0,86.0,82.0
Company-1166,Salesperson13,396.0,386.0,,298.0,,,98.0,,,382.0,,,4.0,
Company-1167,Salesperson9,316.0,138.0,316.0,,,,,,138.0,,,,,
Company-1168,Salesperson6,107.0,80.0,,107.0,,,,,,80.0,,,,
Company-1169,Salesperson8,100.0,6.0,,,,100.0,,,,,,6.0,,
Company-117,Salesperson13,82215.0,46662.0,,22641.0,26795.0,4369.0,28410.0,,,14561.0,12718.0,1383.0,18000.0,
Company-1170,Salesperson7,11921.0,11162.0,8740.0,708.0,647.0,1401.0,425.0,,8592.0,516.0,306.0,1456.0,292.0,
Company-1171,Salesperson13,2099.0,586.0,548.0,197.0,753.0,,601.0,,132.0,44.0,136.0,,274.0,
Company-1172,Salesperson13,218.0,235.0,,,218.0,,,,,,235.0,,,
Company-1173,Salesperson5,0.0,332.0,,,,,0.0,,,,,,332.0,
Company-1174,Salesperson5,836.0,840.0,,,,,836.0,,,,,,840.0,
Company-1175,Salesperson7,372.0,316.0,,,372.0,,,,,,316.0,,,
Company-1176,Salesperson13,127.0,15.0,,,,,,127.0,,,,,,15.0
Company-1177,Salesperson8,102.0,22.0,,,,,102.0,,,,,,22.0,
Company-1178,Salesperson7,104.0,112.0,,,104.0,,,,,,112.0,,,
Company-1179,Salesperson7,830.0,906.0,,,,830.0,,,,,,906.0,,
Company-118,Salesperson7,835.0,166.0,,,,835.0,,,,,,166.0,,
Company-1180,Salesperson7,3045.0,2062.0,,,,,125.0,2920.0,,,,,120.0,1942.0
Company-1181,Salesperson13,201.0,40.0,,,,,201.0,,,,,,40.0,
Company-1182,Salesperson6,266.0,39.0,,,266.0,,,,,,39.0,,,
Company-1183,Salesperson7,3200.0,4928.0,593.0,,,1364.0,,1243.0,938.0,,,2078.0,,1912.0
Company-1184,Salesperson6,8370.0,5910.0,,,,2360.0,6010.0,,,,,1640.0,4270.0,
Company-1185,Salesperson7,631.0,444.0,278.0,,,261.0,92.0,,161.0,,,220.0,63.0,
Company-1186,Salesperson13,727.0,132.0,727.0,,,,,,132.0,,,,,
Company-1187,Salesperson6,673.0,616.0,,,296.0,377.0,,,,,352.0,264.0,,
Company-1188,Salesperson6,2327.0,464.0,1352.0,,,975.0,,,268.0,,,196.0,,
Company-1189,Salesperson5,6159.0,2558.0,289.0,4953.0,307.0,305.0,305.0,,186.0,1804.0,188.0,194.0,186.0,
Company-119,Salesperson6,13668.0,2732.0,1785.0,1167.0,8202.0,1011.0,1114.0,389.0,343.0,232.0,1702.0,220.0,167.0,68.0
Company-1190,Salesperson9,3922.0,3506.0,,186.0,,3736.0,,,,98.0,,3408.0,,
Company-1191,Salesperson6,3673.0,1220.0,,329.0,91.0,,1149.0,2104.0,,478.0,106.0,,230.0,406.0
Company-1192,Salesperson9,1991.0,382.0,,1062.0,,464.0,465.0,,,190.0,,96.0,96.0,
Company-1193,Salesperson6,1775.0,1242.0,1775.0,,,,,,1242.0,,,,,
Company-1194,Salesperson7,131.0,200.0,,,,,131.0,,,,,,200.0,
Company-1195,Salesperson7,336.0,228.0,,,,126.0,210.0,,,,,74.0,154.0,
Company-1196,Salesperson13,147.0,50.0,147.0,,,,,,50.0,,,,,
Company-1197,Salesperson13,1769.0,216.0,,,1769.0,,,,,,216.0,,,
Company-1198,Salesperson7,900.0,126.0,,454.0,446.0,,,,,62.0,64.0,,,
Company-1199,Salesperson13,827.0,498.0,,395.0,432.0,,,,,250.0,248.0,,,
Company-12,Salesperson12,0.0,192.0,,,,0.0,,,,,,192.0,,
Company-12,Salesperson17,0.0,607.0,0.0,,,0.0,,,565.0,,,42.0,,
Company-12,Salesperson22,0.0,3284.0,,,,,0.0,,,,,,3284.0,
Company-120,Salesperson5,3573.0,686.0,3573.0,,,,,,686.0,,,,,
Company-1200,Salesperson13,464.0,496.0,,,,368.0,,96.0,,,,352.0,,144.0
Company-1201,Salesperson9,534.0,166.0,,,,,,534.0,,,,,,166.0
Company-1202,Salesperson14,504.0,686.0,,504.0,,,,,,686.0,,,,
Company-1203,Salesperson8,100.0,47.0,100.0,,,,,,47.0,,,,,
Company-1204,Salesperson6,5840.0,5474.0,,5479.0,,154.0,,207.0,,4960.0,,226.0,,288.0
Company-1205,Salesperson5,3051.0,3882.0,,,,1372.0,1679.0,,,,,1828.0,2054.0,
Company-1206,Salesperson13,2360.0,500.0,,,,,,2360.0,,,,,,500.0
Company-1207,Salesperson13,853.0,1109.0,196.0,431.0,135.0,,91.0,,202.0,674.0,180.0,,53.0,
Company-1208,Salesperson9,1844.0,878.0,,508.0,1149.0,,,187.0,,358.0,421.0,,,99.0
Company-1209,Salesperson13,144.0,76.0,,144.0,,,,,,76.0,,,,
Company-121,Salesperson8,11775.0,7669.0,,1690.0,818.0,7180.0,2087.0,,,1042.0,615.0,4428.0,1584.0,
Company-1210,Salesperson13,42450.0,47250.0,3527.0,10754.0,8742.0,8742.0,4857.0,5828.0,3801.0,12250.0,9705.0,9679.0,5362.0,6453.0
Company-1211,Salesperson6,10399.0,17737.0,8416.0,710.0,1273.0,,,,14832.0,651.0,2254.0,,,
Company-1212,Salesperson9,561.0,127.0,561.0,,,,,,127.0,,,,,
Company-1213,Salesperson8,2710.0,476.0,2710.0,,,,,,476.0,,,,,
Company-1214,Salesperson8,23409.0,11631.0,1089.0,14910.0,7410.0,,,,817.0,7291.0,3523.0,,,
Company-1215,Salesperson17,201.0,400.0,201.0,,,,,,400.0,,,,,
Company-1215,Salesperson6,7943.0,13954.0,269.0,288.0,7276.0,110.0,,,348.0,594.0,12870.0,142.0,,
Company-1216,Salesperson9,3768.0,492.0,1362.0,,,2406.0,,,171.0,,,321.0,,
Company-1217,Salesperson8,105.0,130.0,105.0,,,,,,130.0,,,,,
Company-1218,Salesperson17,140.0,37.0,,,,140.0,,,,,,37.0,,
Company-1218,Salesperson8,768.0,1272.0,,,,768.0,,,,,,1272.0,,
Company-1219,Salesperson13,88.0,64.0,,88.0,,,,,,64.0,,,,
Company-122,Salesperson23,100.0,6.0,,,,,100.0,,,,,,6.0,
Company-1220,Salesperson13,7639.0,4892.0,2929.0,1622.0,404.0,1156.0,653.0,875.0,1523.0,1241.0,263.0,970.0,467.0,428.0
Company-1220,Salesperson17,623.0,291.0,0.0,434.0,,189.0,,,28.0,201.0,,62.0,,
Company-1221,Salesperson7,178.0,214.0,,,,,178.0,,,,,,214.0,
Company-1222,Salesperson13,12092.0,14828.0,1867.0,2690.0,1842.0,2436.0,2403.0,854.0,1575.0,4032.0,1055.0,2029.0,5560.0,577.0
Company-1223,Salesperson6,140.0,84.0,,,,,140.0,,,,,,84.0,
Company-1224,Salesperson8,2113.0,2055.0,,,,,2113.0,,,,,,2055.0,
Company-1225,Salesperson13,293.0,176.0,,293.0,,,,,,176.0,,,,
Company-1226,Salesperson6,905.0,612.0,188.0,,717.0,,,,174.0,,438.0,,,
Company-1227,Salesperson8,575.0,558.0,91.0,,126.0,147.0,211.0,,70.0,,132.0,166.0,190.0,
Company-1228,Salesperson13,10747.0,15426.0,620.0,6014.0,864.0,3249.0,,,726.0,8914.0,1110.0,4676.0,,
Company-1229,Salesperson5,128.0,34.0,,,,128.0,,,,,,34.0,,
Company-123,Salesperson13,2010.0,3256.0,,,,,,2010.0,,,,,,3256.0
Company-1230,Salesperson7,1752.0,1911.0,311.0,493.0,553.0,395.0,,,286.0,592.0,664.0,369.0,,
Company-1231,Salesperson6,10496.0,2168.0,10496.0,,,,,,2168.0,,,,,
Company-1232,Salesperson8,375.0,142.0,319.0,56.0,,,,,116.0,26.0,,,,
Company-1233,Salesperson6,113.0,64.0,113.0,,,,,,64.0,,,,,
Company-1234,Salesperson13,1202.0,358.0,,,1028.0,174.0,,,,,156.0,202.0,,
Company-1235,Salesperson7,17142.0,28620.0,7257.0,5089.0,2025.0,208.0,,2563.0,14895.0,7029.0,2752.0,260.0,,3684.0
Company-1236,Salesperson13,3670.0,2109.0,784.0,1687.0,269.0,930.0,,,862.0,1034.0,75.0,138.0,,
Company-1237,Salesperson6,309821.0,506735.0,111699.0,28166.0,34260.0,65065.0,42861.0,27770.0,183549.0,42514.0,56761.0,97203.0,83266.0,43442.0
Company-1238,Salesperson5,2126.0,1666.0,,2126.0,,,,,,1666.0,,,,
Company-1239,Salesperson8,18979.0,26476.0,3588.0,2250.0,3185.0,5703.0,2068.0,2185.0,4982.0,3148.0,4436.0,8030.0,2850.0,3030.0
Company-124,Salesperson7,4704.0,7366.0,,91.0,,2608.0,332.0,1673.0,,30.0,,4156.0,456.0,2724.0
