Company,Month,Day,YR,Grade,QTY,OD_or_H,ID_or_W,Len,Cond,Shape,Pounds Shipped,Sales,Salesperson,Customer Part #,Item,SO #,cut,M
Company-6,5,21,2020,65-45-12,20,2.75,4.25,72,A/C,RECT,4674,2098,Salesperson22,D0178714,D0178714,3789,,M
Company-6,5,28,2020,65-45-12,4,2.75,4.25,72,A/C,RECT,900,420,Salesperson22,D0178714,D0178714,2035,,M
Company-2,6,9,2020,65-45-12,54,2.75,4.25,72,A/C,RECT,12625,6996,Salesperson1,30106925,D0178714,8517,,M
Company-6,6,10,2020,65-45-12,56,2.75,4.25,72,A/C,RECT,16802,5873,Salesperson22,D0178714,D0178714,7551,,M
Company-2,7,10,2020,65-45-12,16,2.75,4.25,72,A/C,RECT,3714,2073,Salesperson1,30106925,D0178714,10823,,M
Company-861,3,6,2020,65-45-12,4,3.25,4.25,7.54,A/C,RECT,72,863,Salesperson7,D0580054,D0580054,499,SAW CUT,
Company-641,4,22,2020,65-45-12,5,3.25,4.25,7.75,A/C,RECT,146,253,Salesperson9,386825,386825,5006,SAW CUT,
Company-2,3,26,2020,65-45-12,12,3.25,4.25,72,A/C,RECT,3320,1834,Salesperson1,30108800,D0067352,2633,,M
Company-2,4,15,2020,65-45-12,12,3.25,4.25,72,A/C,RECT,3314,1834,Salesperson1,30108800,D0067352,4332,,M
Company-1750,4,27,2020,65-45-12,3,3.25,4.25,72,A/C,RECT,826,625,Salesperson6,D0067352,D0067352,5368,,M
Company-763,4,28,2020,65-45-12,1,3.25,4.25,72,A/C,RECT,272,261,Salesperson4,D0067352,D0067352,5438,,M
Company-40,5,1,2020,65-45-12,12,3.25,4.25,72,A/C,RECT,3322,1755,Salesperson2,D0067352,D0067352,5724,,M
Company-871,5,5,2020,65-45-12,2,3.25,4.25,72,A/C,RECT,548,469,Salesperson13,D0067352,D0067352,5979,,M
Company-687,5,6,2020,65-45-12,1,3.25,4.25,72,A/C,RECT,278,186,Salesperson7,D0067352,D0067352,6131,,M
Company-1750,5,14,2020,65-45-12,2,3.25,4.25,72,A/C,RECT,554,485,Salesperson6,D0067352,D0067352,6845,,M
Company-839,6,1,2020,65-45-12,2,3.25,4.25,72,A/C,RECT,548,437,Salesperson6,D0067352,D0067352,7938,,M
Company-2,6,5,2020,65-45-12,24,3.25,4.25,72,A/C,RECT,6625,3668,Salesperson1,30108800,D0067352,8279,,M
Company-871,6,16,2020,65-45-12,1,3.25,4.25,72,A/C,RECT,270,235,Salesperson13,D0067352,D0067352,9099,,M
Company-1067,6,16,2020,65-45-12,2,3.25,4.25,72,A/C,RECT,540,443,Salesperson8,D0067352,D0067352,9113,,M
Company-1840,6,22,2020,65-45-12,1,3.25,4.25,72,A/C,RECT,269,223,Salesperson13,D0067352,D0067352,9608,,M
Company-1097,6,29,2020,65-45-12,3,3.25,4.25,72,A/C,RECT,832,857,Salesperson8,D0067352,D0067352,10122,,M
Company-2,7,7,2020,65-45-12,12,3.25,4.25,72,A/C,RECT,3226,1834,Salesperson1,30108800,D0067352,10550,,M
Company-564,7,14,2020,65-45-12,5,3.25,4.25,72,A/C,RECT,1372,1247,Salesperson13,D0067352,D0067352,11099,,M
Company-40,7,20,2020,65-45-12,12,3.25,4.25,72,A/C,RECT,3310,1755,Salesperson2,D0067352,D0067352,11582,,M
Company-2,7,24,2020,65-45-12,12,3.25,4.25,72,A/C,RECT,3304,1834,Salesperson1,30108800,D0067352,11999,,M
Company-1817,7,29,2020,65-45-12,2,3.25,4.25,72,A/C,RECT,546,437,Salesperson7,D0067352,D0067352,12450,,M
Company-2,8,10,2020,65-45-12,24,3.25,4.25,72,A/C,RECT,6592,3668,Salesperson1,30108800,D0067352,13261,,M
Company-22,8,10,2020,65-45-12,1,3.25,4.25,72,A/C,RECT,270,153,Salesperson11,562172,D0067352,13275,,M
Company-1433,3,5,2020,65-45-12,15,3.25,4.25,144,A/C,RECT,8171,6819,Salesperson7,D0430709,D0430709,366,,M
Company-272,3,9,2020,65-45-12,8,3.25,4.25,144,A/C,RECT,4356,3099,Salesperson7,"3E03410A-AAZ7 144"" LENGTH",D0430709,609,,M
Company-272,3,9,2020,65-45-12,8,3.25,4.25,144,A/C,RECT,4299,3101,Salesperson7,"3E03410A-AAZ7 144"" LENGTH",D0430709,612,,M
Company-272,3,16,2020,65-45-12,23,3.25,4.25,144,A/C,RECT,12508,8909,Salesperson7,"3E03410A-AAZ7 144"" LENGTH",D0430709,1455,,M
Company-272,3,23,2020,65-45-12,16,3.25,4.25,144,A/C,RECT,12348,6197,Salesperson7,"3E03410A-AAZ7 144"" LENGTH",D0430709,2207,,M
Company-1433,3,31,2020,65-45-12,15,3.25,4.25,144,A/C,RECT,8208,6794,Salesperson7,D0430709,D0430709,3130,,M
Company-1433,4,21,2020,65-45-12,15,3.25,4.25,144,A/C,RECT,8222,6828,Salesperson7,D0430709,D0430709,4907,,M
Company-2,4,24,2020,65-45-12,24,3.25,4.25,144,A/C,RECT,13132,7241,Salesperson1,30108860,D0430709,5175,,M
Company-272,5,4,2020,65-45-12,10,3.25,4.25,144,A/C,RECT,5466,3873,Salesperson7,"3E03410A-AAZ7 144"" LENGTH",D0430709,5843,,M
Company-1433,5,14,2020,65-45-12,21,3.25,4.25,144,A/C,RECT,11528,9449,Salesperson7,D0430709,D0430709,6832,,M
Company-45,5,29,2020,65-45-12,3,3.25,4.25,144,A/C,RECT,1628,905,Salesperson12,D0430709,D0430709,7802,,M
Company-272,6,2,2020,65-45-12,8,3.25,4.25,144,A/C,RECT,4356,3099,Salesperson7,"3E03410A-AAZ7 144"" LENGTH",D0430709,7981,,M
Company-272,6,9,2020,65-45-12,8,3.25,4.25,144,A/C,RECT,4340,3099,Salesperson7,"3E03410A-AAZ7 144"" LENGTH",D0430709,8556,,M
Company-272,6,15,2020,65-45-12,8,3.25,4.25,144,A/C,RECT,4360,3099,Salesperson7,"3E03410A-AAZ7 144"" LENGTH",D0430709,9019,,M
Company-272,6,25,2020,65-45-12,8,3.25,4.25,144,A/C,RECT,4340,3099,Salesperson7,"3E03410A-AAZ7 144"" LENGTH",D0430709,9856,,M
Company-45,6,29,2020,65-45-12,3,3.25,4.25,144,A/C,RECT,1604,905,Salesperson12,D0430709,D0430709,10071,,M
Company-272,7,6,2020,65-45-12,12,3.25,4.25,144,A/C,RECT,6556,4648,Salesperson7,"3E03410A-AAZ7 144"" LENGTH",D0430709,10476,,M
Company-272,7,13,2020,65-45-12,15,3.25,4.25,144,A/C,RECT,8178,5810,Salesperson7,"3E03410A-AAZ7 144"" LENGTH",D0430709,10980,,M
Company-272,7,20,2020,65-45-12,12,3.25,4.25,144,A/C,RECT,6552,4648,Salesperson7,"3E03410A-AAZ7 144"" LENGTH",D0430709,11594,,M
Company-2,7,29,2020,65-45-12,6,3.25,4.25,144,A/C,RECT,3274,1810,Salesperson1,30108860,D0430709,12302,,M
Company-272,8,3,2020,65-45-12,14,3.25,4.25,144,A/C,RECT,8714,5423,Salesperson7,"3E03410A-AAZ7 144"" LENGTH",D0430709,12706,,M
Company-496,6,4,2020,65-45-12,2,3.25,4.25,155,A/C,RECT,1156,992,Salesperson6,387500,387500,8226,,M
Company-124,4,15,2020,65-45-12,2,3.25,4.75,3.6,A/C,RECT,30,91,Salesperson7,386486,386486,4351,SAW CUT,
Company-2,3,17,2020,65-45-12,23,3.25,4.75,72,A/C,RECT,7049,3934,Salesperson1,30109000,D0066561,1547,,M
Company-871,4,14,2020,65-45-12,3,3.25,4.75,72,A/C,RECT,910,649,Salesperson13,D0066561,D0066561,4292,,M
Company-1237,4,14,2020,65-45-12,1,3.25,4.75,72,A/C,RECT,298,187,Salesperson6,188,D0066561,4077,,M
Company-1840,5,4,2020,65-45-12,1,3.25,4.75,72,A/C,RECT,308,296,Salesperson13,D0066561,D0066561,5919,,M
Company-1840,5,26,2020,65-45-12,1,3.25,4.75,72,A/C,RECT,306,249,Salesperson13,D0066561,D0066561,7533,,M
Company-1840,6,8,2020,65-45-12,1,3.25,4.75,72,A/C,RECT,310,249,Salesperson13,D0066561,D0066561,8516,,M
Company-1237,6,9,2020,65-45-12,1,3.25,4.75,72,A/C,RECT,301,187,Salesperson6,188,D0066561,8596,,M
Company-2,6,10,2020,65-45-12,35,3.25,4.75,72,A/C,RECT,10733,5986,Salesperson1,30109000,D0066561,8629,,M
Company-2,7,7,2020,65-45-12,12,3.25,4.75,72,A/C,RECT,3670,2052,Salesperson1,30109000,D0066561,10553,,M
Company-1237,7,22,2020,65-45-12,3,3.25,4.75,72,A/C,RECT,916,561,Salesperson6,188,D0066561,11873,,M
Company-1237,7,28,2020,65-45-12,1,3.25,4.75,72,A/C,RECT,306,187,Salesperson6,188,D0066561,12263,,M
Company-6,8,3,2020,65-45-12,36,3.25,4.75,72,A/C,RECT,11056,4985,Salesperson12,D0066561,D0066561,12687,,M
Company-2,3,27,2020,65-45-12,40,3.25,4.75,144,A/C,RECT,24104,13478,Salesperson1,30109050,381824,2753,,M
Company-496,6,4,2020,65-45-12,2,3.25,4.75,155,A/C,RECT,1294,945,Salesperson6,D0570464,D0570464,8226,,M
Company-1433,3,17,2020,65-45-12,6,3.25,5.25,72,A/C,RECT,1952,1455,Salesperson7,D0103827,D0103827,1674,,M
